Mot;Abréviation;Définition
CHAISE,;s., f.;"s.  f.  ^Maison,  chaumière,  cabane,  de  casa  ainsi  interprété  par  Papias  :  «  Casa,  habita-  tion champêtre  construite  avec  des  pieux,  des  branches  et  des  roseaux  au  moyen  de  laquelle  on  peut  s'abriter  contre  le  froid  ou  la  chaleur.  »  Chaise  pour  maison  n'est  plus  usité  dans  le  lan-  gage ordinaire,  mais  ce  terme  subsiste  dans  un  grand  nombre  de  noms  de  lieu  en  Morvan  et  dans  presque  toute  la  France  :  la  Chaise,  c""""^  de  Plan-  chez ;  —  les  Chaises,  c""""^  de  Brasey."
CHÂLIT,;s., m.;s.  m.  Châlit,  bois  de   lit,  très  usité
CHALÛREU,;adj., fr., Morv., n.;adj.  En  fr.  chaleureux  ne  s'emploie  qu'en  parlant  des  personnes  ou  au  fig.  Nous  nous  en  servons  exclusivement  au  contraire  pour  désigner  la  chaleur  atmosphérique  :  «  Le  temps  est  trop  «  chalûreu  »,  —  la  journée  a  été  bien  «  chalûreuse  ».  Morv.  n.  «  céléreu  ».
CHA^IBLEIRE,;s., f., Morv., n.;f.  Chambrière,  femme  atta-  chée au  service  d'une  maison  bourgeoise,  qui  ne  travaille  pas  aux  champs,  mais  à  l'intérieur.  Morv.  n.  «  çambière,  çambiée.  »  La  fonction  et  le  nom  appartiennent  à  l'histoire  puisque  nous  voyons  le  lépreux  Naaman,  guéri  par  le  prophète  Elisée  à  la  suite  d'un  bon  conseil  que  lui    donna   une  petite
CHAMBR'AUTE,;s., f.;"s.  f.  Chambre  haute  ;  chambre  des  étages  placés  au-dessus  du  rez-de-chaussée.  C'est  presque  un  château  en  Morvan  qu'une  mai-  son ayant  des  «  chambr'autes.   »"
CHAIMP,;loc.;" nom  de  loc.  Nous  avons  en  Niv.  et  particulièrement  en  Morvan  près  de  deux  cents  noms  de  lieu  qui  sont  tirés  de  champ  avec  ou  sans  qualification.  Signalons  seulement  aux  tou-  ristes :  le  grand  et  le  petit  Champ  de  Bataille  ;  le  Champ  païen,  c""''  de  Varennes-lès-Nevers  ;  —  le  Champ  romain,  c°*  de  Donzy-en-Morvan  ;  —  le  Champ  des  Gaulois,  c""""  de  Moux  ;  —  le  Champ  des  Preux,  c""""  d'Avrée  ;  —  les  Champs  de  la  Bataille,  c""''  de  Sermages."
CHAIVIPAIGNE,;s., f.;"s.  f.  Plaine,  endroit  plat  relati-  vement aux  terrains  qui  l'environnent.  La  ferme  de  la  Champaigne  dans  la  c""""  d'Alligny-en-Morv.  occupe  le  bassin  d'une  vallée  très  accidentée.  On  sait  qu'autrefois  Champagne  et  plaine  étaient  synonymes.  Il  y  a  de  grandes  et  petites  cham-  pagnes  dans  beaucoup  de  domaines  ruraux  du  Nivernais.  Ce  sont  des  pièces  de  terre  au  sol  plus  ou  moins  plan.  En  Berry  on  appelle  Champagneux  ou  Champignous  les  cultivateurs  de  la  plaine  de  l'Indre.  Dans  l'Anjou,  les  Champigners  sont  les  habitants  des  contrées  fertiles  en  céréales."
CHA3IPIER,;V., a., adj.; a.  Conduire  aux  champs,  mener  paître.  L'anc.  langue  avait  le  terme  champoîer  qui  est  encore  usité  dans  quelques  parties  du  Morvan,  d'où  les  noms  de  lieu  Champois  et  Cham-  peau,  assez  communs  dans  la  contrée.  En  Poitou,  champeau  est  un  adj.  qui  qualifie  le  pré  que  l'on  ne  fauche  pas,  qui  est  pacagé.
CHA3IPIGN0T,;s., m.;s.  m.  Champignon.  Le  même  mot  latin  fungus  désigne  le  champignon,  plante,
CHAMPLAIN,;s., m., Morv.; m.  Quelques  parties  du  Morv.  donnent  ce  nom  à  un  espace  libre,  à  une  place  publique  où  se  tiennent  les  foires, apports  ou  mar-  chés. Sur  le  champlain  de  Château-Chinon  s'éle-  vait le  gibet  seigneurial.  C'est  aujourd'hui  le  champ  de  foire  de  la  ville.  Il  y  a  sur  le  mont  Beuvray  un  champlain  où,  en  1867,  on  a  exécuté  des  fouilles  qui  ont  mis  à  découvert  quelques  ruines  impor-  tantes.
CHAMPOUÉ.;s., m., fr.; m.  Pacage,  pâturage.  On  dit  aussi  «  champiaige  «  =  champiage,  en  fr.  cham-  péage  :  «  al  é  eun  bon  champoué  ai  l'entor  de  lu  »,  il  a  un  bon  pacage  dans  ses  environs.
CHAJIPOUÉYER,;a., Morv.;v.  a.  Pâturer,  faire  paître  les  animaux.  S'emploie  absolument  :  «  champouéyer»  dans  les  bois.  Ce  terme  e.st  moins  usité  que  «  cham-  pier  »  en  Morv.  b.,  au  moins  dans  le  langage  con-  temporain. On  le  rencontre  au  contraire  presque  exclusivement  dans  les  anciens  actes.
CHAN,;s., m., Norm., c.-à-d., Norm., fr.;Côté,  tranche.  Mettre  «  de  chan,  sur  chan  »  =  de  côté,  sur  le  côté.  Une  brique  «  sur  chan  »  est  une  cloison  construite  avec  des  briques  qu'on  juxtapose  sur  leur  tranche  avec  du  plâtre  ou  du  ciment.  Etre  «  sur  chan  »  est  l'opposé  d'être  à  plat.  Flandre,  Norm.  «  de  can,  sur  can  »,  avec  la  même  signifie.  -  c  dur  pour  ch.  -  On  y  dit  d'un  avare  qui  entasse  ses  écus  qu'il  les  met  «  de  can  »,  c.-à-d.  qu'il  les  place  debout,  sur  leurs  tranches.  En  Norm.  «  canter,  acanter  »,  à  Guernesey  «  can-  tair  »,  signifient  incliner,  pencher  de  côté,  comme  le  fr.  décanter,  l'esp.  deca?ifar,  et  l'ital.  dec3.nta.re.
CHAKCHOUNETTE,;s., f., Morv., n., dimin.; Tresse  de  cheveux  que  les  femmes  ramènent  sur  la  tête  lorsqu'elles  se  coiffent  :  «  une  chanchounette  bionde.  »  Morv.  n.  «  Chonette,  chounette  »,  est  dans  plusieurs  patois  un  dimin.  de  Fanchon  et  en  conséquence  de  Fran-  çoise. Chanchounette  n'est  peut-être  qu'une  cor-  ruption de  Fanchonette.
CHAJVCHUE,;s., f.;s.  f.  Sangsue.
CHANDEILLE,;s., f.;"s.  f.  Chandelle.  Cette  forme  se  trouve  dans  un  grand  nombre  de  textes  anciens  ;  elle  est  dans  Palsg.  :  «  Une  femme  richement  acous-  trée  semble  belle  à  la  Ohandeille.  »"
CHANDELAGE,;s., m.;"s.   m.  Action  de   la  gelée  (jui   I  soulève  les  terres  en  formant  à  la  surface  une  forêt  [  de   petites   aiguilles   ou   chandelles  de  glace.   Le  j  «  chandelage  »  est  souvent  funeste  aux  récoltes  en  déracinant  les  céréales  qui  restent,  pour  ainsi  dire,  suspendues  en  l'air.  Berry  :   «  chandelure  »  ;   —  Guernesey  :  «  candelle  »,  chandelle  de  glace."
CHANDELER,;n., fr.;v.  n.  Se  ditdesterresarénacéesqui  se  soulèvent  par  l'eiïctdelagelée  en  formant  unemul-  titude  de  petites  chandelles  ou  aiguilles  de  glace,  lesquelles  supportent  une  légère  croiite  de  terrain.  Les  allées  sablées  «  chandellent  »  à  un  tel  point  que  le  pied  disparaît  quelquefois  tout  entier  dans  la  brillante  cristallisation  du  sol.  Ce  phénomène  ne  se  montre  nulle  part  mieux  qu'au  milieu  des  arènes  du  Morvan.  Berry  :  «  chandeler  ».  —  De  chandelle  par  assimilation.  En  fr.  les  chandelles  de  glace  sont  les  glaçons  qui  pendent  des  toits  ou  des  arbres.
CHANDIE,;s., m.;s.  m.  Syncope  de  chandelier.
CHAKNI,;V., n.;V.  n.  Chancir,  moisir,  couvrir  de  moi-  sissures :  du  pain  «  channi  »,  du  fromage  «  chan-  ni.  »
CHANPLEURE,;s., f., fr., fr.;"f.  Robinet  de  tonneau,  can-  nelle par  où  s'écoule  le  vin,  la  bière,  etc.;  chante-  pleure  en  fr.  —  En  vi.  fr.  chantepleure,  champe-  Icurc.  Ménage  consacre  un  grand  article  au  mot  Chantepleure  qu'il  tire  des  deux  verbes  chanter  et  pleurer ,  parce  cjue  le  liquide  en  sortant  par  le  robinet  murmure,  ou  tour  à  tour  chante  et  pleure.  Une  personne  chez  qui  le  rire  et  les  larmes  se  succèdent  rapidement  est  un  «  chantepleure  »  à  Genève.  Le  mot  se  trouve  dans  Palsg.  et  dans  Nicot.  Le  pre-  mier l'attribue  au  patois  de  Normandie  ;  il  emploie  aussi  une  forme  «  chantepleuse  »,  broche  à  vin.  Godefroy  de  Paris  dit  des  Templiers  dont  toute  la  puissance  s'évanouit  en  un  instant  :  Tant  va  pot  à  ève  qu'il  brise.  A  un  seul  poinct  et  à  une  heure  Ont-il  trouvé  la  Chante  pkure."
CHANTEAI,;s., m., Morv., n., fr.; Chanteau,  morceau,  quartier  de  pain.  Le  «  chanteai  »,  ou  chanteau  en  fr.,  est  le  dernier  morceau  qui  reste  sur  la  table  ou  dans  la  mait.  Morv.  n.  «  chantiau,  chanquiau.  »  Vi.  fr.  cantel,  chantel,  chanteau,  chantiau  :
CHANTIÉ,;s., m., Morv., n.;m.  Sentier,  chemin  de  traverse,  Morv.  n.
CHANTRE,;s., f., fr.; f.  Jante  de  roue.  Vi.  fr.  cante,  chante,  gante.
CHAPE,;Morv., n.;E.  Nom  de  bœuf  ou  de  vache.  Désigne  plus  particulièrement  les  bêtes  à  cornes  qui  ont  la  tête  blanche  ou  blonde.  Morv.  n.  «  çaipé  ».
CHAPIAU,;s., m., Morv., n.;m.  Chapeau.  Morv.  n.
CHAPEN,;s., m., Morv., n.;m.  Sapin.  Morv.  n.
CHAPLU,;adj.; adj.  Chappé.  Se  dit  du  grain  lorsqu'il  n'est  pas  encore  sorti  de  son  enveloppe  ou  balle  :  a  du  blé  chaplu.  »  L'orthog.  régulière  serait  cha-  pelu.
CHAPON,;s., m., c.-à-d.; m.  Grain  qui  ne  s'est  pas  dépouillé  sous  le  fléau,  qui  est  demeuré  dans  la  balle.  De  chape,  parce  que  le  grain  est  resté  dans  sa  chape,  c.-à-d.  dans  son  enveloppe.
CHAPOUNER.;n., Voy.;Se  dit  des  incisions  qu'on  fait  dans  l'écorce  d'une  branche  et  à  distances  plus  ou  moins  régulières.  Après  une  opération  de  ce  genre,  on  a  un  bâton  «  chapouné  ».  Moi'v.  n.  Parmi  les  anciens  droits  d'usage,  on  trouve  en  certains  pays  le  droit  d'usage  «  au  bois  chaponné.  »  Voy.  Etude  sur  la  condition  forestière  de  l'Orléanais,  p.  146.  Il  s'agit  probablement  d'arbres  élagués  et  peut-être  même  écorcés  par  accident  ou  autrement.
CHAR,;s., f.;s.  f.  Chair.  Li  parole  est  faite  Chars  et  si  habitat  en  nos.
CHARDER,;V., n., Morv., n.;"n.  Pleurnicher.  Se  dit  d'une  per-  sonne qui  pleure  ou  grogne  à  tout  propos  et  sans  motif.  Morv.  n.  Berry  :  «  carder  »,  avoir  de  la  peine,  souffrir;  — Forez  :  «  chardâ  »,  hargner.  (Voyez  Carder.)"
CHAREIRE,;s., f., Morv., n.;f.  Oharrière,  chemin,  sentier  ré-  servé dans  les  bois  pour  le  passage  des  voitures.  Morv.  n.  «çareire».  Vi.  fr,,  charière,  chareire,  cha-  rire,  carrière,  chemin  en  général,  même  au  fig.  :
CHARIER;V., réfl., fr., loc.;V.  réfl.  Aller  en  voiture  :  «  1  m'  seu  chârié  ai  Sauleu  »,  je  suis  allé  en  voiture  à  Saulieu.  On  serait  compris  en  fr.  si  on  traduisait  cette  loc.  par  se  voiturer.  On  prononce  souvent  se  «  chairrier  ».  (Voy.  Chair.)
CHARLETTE,;dimin., fr.;nom  propre.  Le  dimin.  masc.  Charlet  n'est  pas  usité,  mais  avec  Charli  nous  avons  la  forme  Chariot  dont  le  fr.  possède  le  fém.  Charlotte.  Charlet  est  un  nom  de  famille  répandu  en  France.
CHARLI,;dimin.;" nom  propre,  dimin.  de  Charles.  L'an-  cien château  de  Charly,  c""""  de  Chaulgnes,  figure  dans  une  charte  de  1094  sous  le  nom  de  mansum  Charliaci.  Le  Petit-Charly  est  une  ferme  dans  la  même  localité."
CHARLOT;loc.; (LE),  loc.  «  Avoir  le  chariot,  »  être  d'humeur  flegmatique,  molle,  paresseuse.
CHARMER,;V., a., V.; a.  Avoir  en  germe,  couver  une  maladie  :  il  y  a  longtemps  qu'il  «  charmait  »  ces  fièvres-là.  Elle  «  charme  »  une  hydropisie.  Env.  d'Avallon.  En  Berry,  la  gale  est  appelée  la  «  char-  mante. »  Est-ce  par  antiphrase  ?  est-ce  par  suite  d'une  relation  détournée  avec  cette  signifie,  du  V.  charmer  en  Morvan.  (Voy.  Chairmer.)
CHARNIÉ,;s., m., fr.; m.  Échalas,  pau  de  vigne  en  Niv.  et  dans  quelques  parties  de  la  Bourg,  morvandelle.  «  M.  P...,  marchand  de  bois...,  prévient  les  pro-  priétaires de  vignes  qu'il  tient  à  leur  disposition  du  Charnier  moderne,  chêne  et  châtaignier...  (Journal  de  la  Nièvre,  11  fév.  1872.)  Usité  en  vi.  fr.  ou  au  moins  dans  quelques  provinces,  le  Berry,  l'Orléanais,  la  Touraine  :  «  Le  suppliant  donna  à  icellui  Faucon  d'un  eschalaz  de  vigne,  nommé  au
CHAT,;adj.; CHAITE,  adj.  Gourmand,  friand.  L'a-  vare est  toujours  «  chat  »  d'argent,  la  femme  tou-  jours «  chaite  »  de  chiffons  ou  de  rubans.  Etre  chat  de  ceci  ou  de  cela.  Se  dit  absolument  pour  être  friand  ou  même  avide  de  quelque  chose.  Dans  Festus  :  «  Catillones  appellabant  antiqui  gulosos.»  Le  Dictionariolum  puerorum  traduit  catillo  par  «  gourmand,  friand,  licheur  de  plats.  »  Le  verbe  catillare  =  friander.  Le  fém.  catilla,  femme  friande,  qui  se  trouve  dans  Plaute,  correspond  si  exactement  à  notre  patois  «  chaite  »  qu'on  serait  tenté  de  rattacher  ces  mots  à  cattus,  chat  ou  chien,  animal  domestique.  (Voy.  Aichaiti,  Chatenet.)
CHATAINGNE,;s., f.;s.  f.  Châtaigne.
CHATELICOT,;s., m.;s.  m.  Petit  bouquet  de  noisettes,  de  glands,  de  fruits  enchaînés.  Dimin.  de  châtelot.
CHÀTELOT,;s., m., fr.; m.  Bouquet  de  noix,  de  châtai-  gnes, etc.  «  Châtelot» représente  le  fr.  cliâtelet,  pe-  tit château  par  assimilation.  Le  wallon  qui  pro-  nonce «  catelet  »  donne  à  ce  mot,  dans  la  région  belge,  le  sens  de  trochet  ou  bouquet  de  fruits,  et  au  fig.  de  groupe,  d'enchaînement  par  agglomé-  ration. Genève  :  «  catelet  »  ou  «  chatelet  »,  trochet  de  noisettes.  —  Fr. -Comté  :  «  catelot  ».  —  En  Poitou  le  «  chatelet  »  est  un  jeu  d'enfants  où  l'on
CHATENERE,;s., f.;"s.  f.  Chatière,  ouverture  ménagée  dans  le  toit  pour  le  passage  des  chats.  —  Berry  :  «  châtounière  »  ;  —  Poitou  :  «  chatounère  »  :  —  Jura  :  «  châtenêra  »  ;  —  Languedoc  «  catou-  gnéïro.  »"
CHATENET,;s., m.;s.  m.  Gourmand,  friand,  celui  qui  aime  la  bonne  chère  et  recherche  les  morceaux  délicats.  De  chat  avec  le  sens  friand  au  fig.  Dans  Oudin,  chatter=  friander.  En  Berry  «  chatoyer  »  se  dit  pour  flatter,  plaire  comme  une  chose  friande.  (Voy.  Chat).
CHATERIE,;s., f., Bourg.;" f.  Friandise,  sucrerie,  mets  délicat.  S'emploie  par  extension  pour  désigner  ce  qu'il  y  a  de  meilleur  dans  certaines  choses,  la  crème,  la  fleur.  —  Bourg.  «  chaiterie  »  ;  — Berry  :  «  chatterie  »."
CHÀTILLON,;fr.; nom  de  bœuf  très  connu  dans  notre  contrée.  Ce  nom  est  peut-être  tiré  de  la  cou-  leur de  l'animal  plutôt  que  de  son  origine.  Dans  le  Berry  et  le  Nivernais  beaucoup  de  boeufs  sont  appelés  Châtain.  Le  Chatillonnais  néanmoins  four-  nit assez  souvent  des  bœufs  à  nos  charretiers  de  galvache.  La  dénomin.  pourrait  encore  être  em-  pruntée au  vi.  fr.  chatrillon,  équivalant  à  chastron,  avec  le  sens  de  jeune  bœuf  châtré.  La  chute  de  l'r  dans  la  prononc.  n'aurait  rien  d'anormal.  En  Fo-  rez «  chatrillon  »  désigne  le  chardonneret.  (Voy.  Châtron.)
CHÂTRE,;s., f.;"s.  f.  Châtrure  ;  action  de  châtrer.  Un  porc  subit  «  la  châtre  »  avant  d'être  mis  à  l'en-  grais."
CHÂTRER,;V., a.;V.  a.  Raccommoder  grossièrement  sans  y  mettre  de  goût  ou  de  soin.
CHÂTREURE,;s., f.;s.  f.  Raccommodage  grossière-  ment fait.
CHÀTRON,;s., m., Morv., n.;m.  Taureau  récemment  châtré,  jeune  bœuf  qui  n'a  pas  encore  été  soumis  au  joug  ou  qui  ne  l'a  été  que  depuis  peu  de  temps.  Morv.  n.  «  çâtron.  »
CHÂTROU,;s., m.;s.  m.  Châtreur,  celui  qui  châtre  les  animaux  dans  nos  campagnes.
CHAUCHETTE,;s., f.;s.  f.  Chaussette,  demi-bas,  di-  min.  de  «  chauche  »  =  chausse.
CHAUDRON,;s., m., fr.; m.  Vase  de  fer  blanc  avec  cou-  vercle et  dont  on  se  sert  pour  transporter  la  soupe  ou  autres  aliments  lorsque  les  ouvriers  sont  répan-  dus dans  les  champs.  Le  chaudron  en  fr.  est  tout  autre  chose.  C'est  une  petite  chaudière  qui  va  au  feu.  Notre  chaudron  fait  souvent  défaut  à  l'étj'm.  caklus,  chaud.
CHAUFAU,;s., m.;s.  m.  Échafaud,  appareil  composé  de  poteaux  et  de  claies  qui  permet  de  s'élever  plus  ou  moins  haut  au-dessus  du  sol.
CHAUFAUDER,;n.; v.  n.  Échafauder,  construire  un  appareil  en  bois  pour  s'élever  au-dessus  du  sol.  Les  maçons  ne  peuvent  travailler  à  une  cer-  taine hauteur  sans  «  chaufauder.  «
CHAUFFEU,;s., m.;"s.  m.  Chauffoir,  lieu  où  se  trouve  la  cheminée  ;  chambre  à  feu.  Le  chauffeur  dans  les  anciens  actes  est  toujours  distinct  des  autres  nhâs  de  bâtiment  ;  c'est  à  proprement  parler  la  maison  d'habitation  :"
CHAUGNON,;s., m.;s.  m.  Anneau  qui  réunit  l'avant  et  l'arrière-train  d'une  charrue.  «  Chaugnon  »  =  chaînon.
CHAUMÂ,;s., m.;s.  m.  Petite  chaume,  terre  inculte  et  engazonnée.
CHAUME,;s., f., fr.; f.  Terrain  engazonné,  ordinaire-  ment de  peu  de  valeur,  lande,  espace  vague  et  livré  au  pacage  des  animaux.  Dans  le  Dict.  de  l'Acad.,  chaume  est  un  subst.  masc.  qui  désigne  la  tige  des  céréales,  soit  qu'elle  reste  en  partie  dans  les  champs  après  la  moisson,  soit  qu'elle  serve  à  la  toiture  des  habitations  pauvres,  des  chaumières.  En  Morvan,  au  contraire,  chaume  est  un  subst.  fém.  qui  signifie  exclusivement  ter-  rain gazonné.  Il  est  étrange  que  la  forme  fém.  de  calamus  correspondante  au  bas  1.  calma  ait  dis-  paru de  la  langue  littéraire,  lorsqu'on  la  trouve  en  tous  pays  appliquée  à  de  nombreuses  localités.  Dans  le  Niv.  il  y  a  près  de  cent  villages,  hameaux  ou  écarts,  qui  portent  ce  nom  avec  ou  sans  quali-  ficatif. Le  vi.  fr.  disait  aussi  une  chaume  dans  le  sens  de  terre  engazonnée  :
CHAUPIQUET,;s., m., Morv., n.;m.  Saupiquet,  sauce  piquante  où  il  entre  beaucoup  de  vinaigre.  Morv.  n.
CHAUSSE,;s., f., n.; f.  Chausse,  bas,  vêtement  de  la  jambe  et  du  pied.  !Morv.  n.  «  causse.  »  Les  Gau-  lois n'ont  porté  des  bas  que  fort  tard,  les  Morvan-  deaux n'en  portent  que  le  moins  possible.  Toujours  est-il  que  pour  eux  les  bas  sont  encore  des  '<  chaus-  ses »  ou  «  chauches.  »
CHAUSSES,;s., f.;s.  f.  Chaussée,  levée  d'étang,  bar-  rage qui  retient  les  eaux.
(GUILL.;V.; GUURT,  V.  8,^44.)
(IB.;V.; V.  8643.)
CHAUVEAU,;s., m.;s.  m.  Mesure  de  capacité  ayant  la  forme  tubulaire  et  contenant  environ  un  litre.  On  dit  d'une  personne  craintive  qu'elle  se  ramasse,  se  resserre  comme  un  «  chauveau  »  d'huile.
CHAUVOUCHERI,;s., f., Morv., n.;f.  Chauve-souris.  Morv.  n.  Chéri  =  seri  par  le  cliangement  de  l's  en  oh.  (Voy.
CHAVOUCHIE,;s., f.;s.  f.  Chauve-souris.
CHÉ.;s., m., Morv., n.;m.  Chef,  tête.  Sapplique  seulement  aux  animaux.  Autant  de  bœufs,  de  vaches,  autant  de  «  chés  de  neurin.  »  On  compte  aussi  les  chevaux,  les  moutons  et  même  les  volailles  par  «  ché.  »  Morv.  n.  «  ce.  «
